limites_catastro_planeamiento;db_municipios_catalogo;catalogo;sig_provincia;;provincia;Provincia;orden:10,provincia;;4326;gid;entidad;0;gid,objeto,geom,nombre_geografico,codigo_indec,autoridad_de_fuente;División político territorial de primer orden. Incluye la Ciudad Autónoma de Buenos Aires (CABA).;provincia_gl;provincia_gl.svg
limites_catastro_planeamiento;db_municipios_catalogo;catalogo;sig_departamento;;departamento;Departamento;orden:20,departamento;;4326;gid;entidad;0;gid,objeto,geom,nombre_geografico,codigo_indec,autoridad_de_fuente;División político administrativa de segundo orden.;departamento_gl;departamento_gl.svg
limites_catastro_planeamiento;db_municipios_catalogo;catalogo;sig_gobierno_local_punto;;gobierno_local_punto;Gobierno Local (Punto);orden:30,gobierno,local,municipio;;4326;gid;;;gid,geom,nombre_geografico,codigo_indec,tipo_gobierno_local,codigo_tipo_gobierno_local,departamento,codigo_departamento,provincia,codigo_provincia,fuente_de_captura,autoridad_de_fuente;Jurisdicción político-administrativa de tercer o cuarto orden. Incluye Municipios, Comunas, Juntas y Comisiones.;gobierno_local_visor_gl;gobierno_local_visor_gl.svg
limites_catastro_planeamiento;db_municipios_catalogo;catalogo;sig_gobierno_local_poligono;;gobierno_local_poligono_FA000;Gobierno Local (Polígono);orden:40,gobierno,local,municipio;;4326;gid;;;gid,geom,nombre_geografico,termino_generico,codigo_indec,fuente_de_captura,autoridad_de_fuente;División político administrativa de tercer orden que incluye comunas, juntas vecinales y demás formas de gobierno local.;gobierno_local_poli_gl;
limites_catastro_planeamiento;db_municipios_catalogo;catalogo;sig_bahra_v2;;localidad;Localidad;orden:50,aglomeracion, localidad, habitat, poblamiento, asentamiento, urbano, gobierno local;;4326;gid;;tipo_asentamiento in ('Componente de localidad compuesta','Localidad simple');gid,geom,nombre_geografico,tipo_asentamiento,codigo_asentamiento,nombre_aglomerado,codigo_aglomerado,nombre_departamento,codigo_indec_departamento,nombre_provincia,codigo_indec_provincia,latitud_grado_decimal,longitud_grado_decimal,latitud_grado_sexagecimal,longitud_grado_sexagecimal,fuente_ubicacion;Superficie terrestre caracterizada por la continuidad de áreas edificadas y no edificadas conectadas entre sí por una red de calles donde se concentra población.;localidad_gl;localidad_gl.svg
limites_catastro_planeamiento;db_municipios_catalogo;catalogo;sig_bahra_v2;;sublocalidad;Sublocalidad;orden:60,sublocalidad;;4326;gid;tipo_asentamiento;Entidad;gid,geom,nombre_geografico,tipo_asentamiento,codigo_asentamiento,nombre_aglomerado,codigo_aglomerado,nombre_departamento,codigo_indec_departamento,nombre_provincia,codigo_indec_provincia,latitud_grado_decimal,longitud_grado_decimal,latitud_grado_sexagecimal,longitud_grado_sexagecimal,fuente_ubicacion;Subdivisión de una localidad según legislación del gobierno local.;sublocalidad_gl;sublocalidad_gl.svg
limites_catastro_planeamiento;db_municipios_catalogo;catalogo;sig_bahra_v2;;paraje;Paraje;orden:70,paraje;;4326;gid;tipo_asentamiento;Paraje;gid,geom,nombre_geografico,tipo_asentamiento,codigo_asentamiento,nombre_aglomerado,codigo_aglomerado,nombre_departamento,codigo_indec_departamento,nombre_provincia,codigo_indec_provincia,latitud_grado_decimal,longitud_grado_decimal,latitud_grado_sexagecimal,longitud_grado_sexagecimal,fuente_ubicacion;Lugar situado en un área rural que se identifica con un topónimo, usualmente de límites no definidos, donde puede habitar población en forma permanente o temporaria.;paraje_gl;paraje_gl.svg
limites_catastro_planeamiento;db_municipios_catalogo;catalogo;sig_areas_de_asentamientos_y_edificios;;areas_de_asentamientos_y_edificios_020106;Planta Urbana;orden:80,planta,urbana;;4326;gid;;entidad in (2,3);gid,objeto,geom,nombre_geografico,autoridad_de_fuente;Área urbana aproximada que incluye la zona contigua de amanzanamiento edificado, cuyos límites son reconocibles.;planta_urbana_gl;planta_urbana_gl.svg
limites_catastro_planeamiento;db_municipios_catalogo;catalogo;sig_renabap;;renabap;ReNaBap;orden:90,renabap,barrios,populares;;4326;gid;;;gid,geom,id_renabap,nombre_barrio;;renabap_gl;
infraestructura_equipamiento_urbano;db_municipios_catalogo;catalogo;sig_puntos_de_asentamientos_y_edificios;;puntos_de_asentamientos_y_edificios_020101;Edificio gubernamental;orden:10,edificio,gubernamental;;4326;gid;entidad;0;gid,objeto,geom,nombre_geografico,autoridad_de_fuente;Construcción destinada al asiento de la autoridad oficial de un organismo nacional, provincial, municipal o comunal, y sede de actividades públicas administrativas.;edificio_gubernamental_gl;edificio_gubernamental_gl.svg
infraestructura_equipamiento_urbano;db_municipios_catalogo;catalogo;sig_lineas_de_estructura_asociada;;lineas_de_estructura_asociada;Ducto;orden:100,ducto;;4326;gid;;;gid,objeto,geom,nombre_geografico,tipo_de_ducto,autoridad_de_fuente;Serie de tubos conectados para el transporte de sólidos, líquidos o gases por bombeo. Se excluyen los acueductos.;ducto_gl;
infraestructura_equipamiento_urbano;db_municipios_catalogo;catalogo;sig_puntos_de_extraccion;;puntos_de_extraccion_AA010;Mina /Cantera;orden:110,mina,cantera;;4326;gid;entidad;0;gid,objeto,geom,nombre_geografico,estado,producto,autoridad_de_fuente;Sitio destinado a la extracción de minerales metalíferos y no metalíferos por galerías subterráneas o a cielo abierto.;mina_gl;mina_gl.svg
infraestructura_equipamiento_urbano;db_municipios_catalogo;catalogo;sig_puntos_de_extraccion;;pozo_de_agua;Pozo de agua;orden:120,pozo,agua;;4326;gid;entidad;2;gid,objeto,geom,nombre_geografico,autoridad_de_fuente;Excavación o perforación hecha en la tierra con el objetivo de extraer agua para diversos usos.;pozo_de_agua_gl;pozo_de_agua_gl.svg
